Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,power_count_neg,power_count_pos,power_current,power_current_neg,power_current_pos,power_level_state,power_voltage,power_wattage,power_wattage_neg,power_wattage_pos,iad_millimeter,shader_hitches,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_microseconds,icfl_mean_microseconds,icfl_stdev_microseconds,slice_headroom_mean_microseconds,slice_headroom_stdev_microseconds,slice_gpu_start_delay_min_microseconds,slice_gpu_start_delay_max_microseconds,screen_tear_count,early_frame_count,stale_frame_count,direct_render_frame_count,total_layer_count,merged_layer_count,maximum_rotational_speed_degrees_per_second,eye_texture_scale_factor,foveation_mode,foveation_level,dynamic_foveation_enabled,eye_tracked_foveation_latency_milliseconds,symmetric_fov,eye_buffer_width,eye_buffer_height,swap_chain_width,swap_chain_height,front_buffer_width,front_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,local_dimming_enabled,cabc_enabled,temporal_dimming_enabled,temporal_dimming_gain,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,extrapolation_factor_mean,extrapolation_factor_rms,data_extrapolation_factor_mean,data_extrapolation_factor_rms,app_vss_MB,app_rss_MB,app_uss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_gpu_physical_MB,app_gpu_virtual_MB,app_gpu_allocated_percentage,stale_frames_consecutive,max_repeated_frames,skipped_frames,face_tracking_overall_latency_milliseconds,face_tracking_processing_latency_milliseconds,face_tracking_frame_to_frame_latency_milliseconds,face_tracking_frames_dropped,face_tracking_frames_per_second,eye_tracking_overall_latency_milliseconds,eye_tracking_processing_latency_milliseconds,eye_tracking_frame_to_frame_latency_milliseconds,eye_tracking_frames_dropped,eye_tracking_frames_per_second,hand_tracking_overall_latency_milliseconds,hand_tracking_processing_latency_milliseconds,hand_tracking_frame_to_frame_latency_milliseconds,hand_tracking_frames_dropped,hand_tracking_frames_per_second,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height,app_frame_throttle,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
11001,3460,449,97,38,9999,0,0,885,0,0,0,4290,3796,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,37742,15100,377,681,192,66,523,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4673,2094,0,0,0,0,100,39,53,54,56,39,39,38,0,0,50,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12001,3460,449,97,38,9999,0,0,954,0,0,0,4290,4092,0,0,63,0,2,2,1382,456,2000,1,0,4,73,72,38172,15319,331,981,186,67,214,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4646,2088,0,0,0,0,100,44,56,55,60,44,35,33,0,0,50,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13001,3460,449,97,38,9999,0,0,796,0,0,0,4290,3414,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,38157,15182,328,852,201,66,612,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4494,2091,0,0,0,0,100,39,55,53,55,39,37,36,0,0,50,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14001,3460,449,97,38,9999,0,0,811,0,0,0,4290,3479,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,37865,15200,304,926,251,66,556,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4481,2068,0,0,0,0,100,40,54,57,58,37,40,37,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15001,3460,449,97,38,9999,0,0,1019,0,0,0,4290,4371,0,0,63,0,2,2,1382,456,2000,1,0,4,73,72,37964,15249,340,836,130,66,278,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4532,2105,0,0,0,0,100,46,57,58,62,46,37,39,0,0,50,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16001,3460,449,97,38,9999,0,0,769,0,0,0,4290,3299,0,0,63,0,2,2,1382,456,2000,1,0,4,73,72,38146,15402,316,1001,199,66,707,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4567,2088,0,0,0,0,100,44,53,54,57,44,38,37,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17001,3460,449,97,38,9999,0,0,543,0,0,0,4290,2329,0,0,63,0,2,2,1382,456,2000,1,0,4,73,72,38244,15233,312,840,153,67,407,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4584,2100,0,0,0,0,100,41,50,47,55,41,38,39,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18001,3460,449,97,38,9999,0,0,817,0,0,0,4278,3495,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,38027,15232,307,842,157,66,498,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4471,2084,0,0,0,0,100,44,50,54,59,44,37,36,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
19024,3533,503,97,38,9999,0,0,953,0,0,0,4278,4076,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,37993,15156,318,869,135,66,264,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4535,2097,0,0,0,0,100,41,52,50,58,41,36,32,0,0,49,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20001,3533,503,97,38,9999,0,0,548,0,0,0,4278,2344,0,0,63,0,2,2,1382,456,2000,1,0,4,73,72,37993,15086,329,740,114,66,215,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4737,2077,0,0,0,0,100,39,51,52,55,38,39,38,0,0,49,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
