t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784737553223,2,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.678
1784737555170,2,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.190
1784737575884,2,Filter,A,-1,,,,,false_alarm,,
1784737577261,2,Filter,A,-1,,,,,false_alarm,,
1784737577938,2,Filter,A,1,traffic_light,6.500,23.000,16.500,miss,,
1784737586945,2,Filter,A,60,person,21.500,32.000,10.500,miss,,
1784737612428,2,Filter,A,61,person,56.500,57.500,1.000,miss,,
1784737617682,2,Filter,A,6,person,61.000,68.000,7.000,hit,2.497,1.043
1784737618593,2,Filter,A,7,person,62.000,66.000,4.000,hit,2.398,0.386
1784737625777,2,Filter,A,-1,,,,,false_alarm,,
1784737627179,2,Filter,A,8,traffic_light,67.000,77.500,10.500,hit,6.006,0.459
1784737636953,2,Filter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1784737641858,2,Filter,A,12,person,85.000,113.000,28.000,hit,2.688,1.362
1784737647287,2,Filter,A,11,person,82.500,115.000,32.500,hit,10.593,0.523
1784737669268,2,Filter,A,65,person,113.000,116.000,3.000,hit,2.082,3.490
1784737686080,2,Filter,A,15,person,130.500,131.500,1.000,hit,1.398,3.025
1784737693173,2,Filter,A,17,traffic_light,137.500,140.500,3.000,hit,1.472,1.620
1784737693456,2,Filter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1784737698830,2,Filter,A,18,person,143.500,154.500,11.000,hit,1.145,0.994
1784737701250,2,Filter,A,19,person,145.500,154.000,8.500,hit,1.580,0.785
1784737722559,2,Filter,A,21,person,166.500,174.000,7.500,hit,1.868,0.805
1784737733458,2,Filter,A,69,person,177.000,178.500,1.500,miss,,
1784737739434,2,Filter,A,24,person,182.500,184.500,2.000,miss,,
1784737740928,2,Filter,A,70,person,180.000,186.000,6.000,miss,,
1784737757314,2,Filter,A,26,traffic_light,202.000,255.000,53.000,hit,1.136,0.645
1784737771531,2,Filter,A,71,person,203.500,264.500,61.000,hit,13.850,2.446
1784737772751,2,Filter,A,29,person,217.000,220.000,3.000,hit,1.552,1.202
1784737807541,2,Filter,A,30,person,250.500,257.500,7.000,hit,2.853,0.497
1784737813844,2,Filter,A,31,person,258.500,269.500,11.000,hit,1.159,2.850
1784737829452,2,Filter,A,34,traffic_light,272.000,274.500,2.500,miss,,
1784737835981,2,Filter,A,35,person,280.500,305.500,25.000,hit,1.281,0.739
1784737839427,2,Filter,A,36,traffic_light,281.000,284.500,3.500,miss,,
1784737839921,2,Filter,A,75,traffic_light,281.500,285.000,3.500,miss,,
1784737863952,2,Filter,A,76,traffic_light,307.000,309.000,2.000,miss,,
1784737903481,2,Filter,A,43,person,347.500,351.500,4.000,hit,1.782,5.363
1784737920548,2,Filter,A,44,person,362.000,418.500,56.500,hit,4.366,2.592
1784737938020,2,Filter,A,45,traffic_light,363.500,417.000,53.500,hit,20.350,1.317
1784737958618,2,Filter,A,77,person,401.000,408.500,7.500,hit,3.437,1.519
1784737981440,2,Filter,A,49,traffic_light,425.500,426.500,1.000,miss,,
1784738011737,2,Filter,A,78,person,456.500,461.000,4.500,hit,1.057,2.359
1784738012927,2,Filter,A,79,traffic_light,457.000,458.000,1.000,miss,,
1784738019159,2,Filter,A,52,person,464.000,469.500,5.500,hit,0.965,1.167
1784738021440,2,Filter,A,53,traffic_light,464.500,466.500,2.000,miss,,
1784738050068,2,Filter,A,80,person,494.500,509.500,15.000,hit,1.395,1.107
1784738052940,2,Filter,A,81,person,497.000,498.000,1.000,miss,,
