point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg
0,0,person,55.500,145.000,89.500,47.556,-4.185,47.696,11.322
1,0,person,61.000,68.000,7.000,37.692,-3.330,37.817,3.528
2,0,person,62.000,66.000,4.000,24.228,-3.240,24.431,3.276
3,9,traffic_light,67.000,77.500,10.500,-10.215,5.234,11.465,1.395
4,0,person,82.500,115.000,32.500,31.221,-5.085,31.591,10.872
5,0,person,85.000,113.000,28.000,82.926,-6.201,82.968,11.466
6,0,person,113.000,115.500,2.500,1.683,-2.664,3.151,7.524
7,0,person,130.500,131.500,1.000,28.566,-3.555,28.768,5.706
8,0,person,143.500,154.500,11.000,19.224,-0.810,19.240,2.772
9,0,person,145.500,154.000,8.500,15.075,-1.553,15.153,2.907
10,0,person,154.000,166.000,12.000,30.834,-5.400,31.257,10.800
11,0,person,166.500,174.000,7.500,33.615,-6.624,34.186,12.114
12,9,traffic_light,193.000,193.000,0.000,-22.482,13.806,26.194,3.132
13,9,traffic_light,202.000,255.000,53.000,-25.020,13.662,28.295,3.492
14,9,traffic_light,206.000,208.000,2.000,-16.740,2.313,16.895,2.790
15,9,traffic_light,209.000,253.000,44.000,-8.604,4.275,9.600,1.818
16,0,person,217.000,220.000,3.000,14.544,-3.744,15.008,4.500
17,0,person,250.500,257.500,7.000,-2.538,-0.405,2.570,4.662
18,0,person,258.500,269.500,11.000,26.388,-1.953,26.455,5.238
19,9,traffic_light,263.000,265.500,2.500,-13.311,4.747,14.118,1.557
20,0,person,270.500,273.500,3.000,19.971,-1.543,20.028,2.619
21,9,traffic_light,272.000,274.500,2.500,13.482,6.984,15.154,1.836
22,9,traffic_light,281.000,284.500,3.500,17.055,8.235,18.886,2.286
23,0,person,280.500,305.500,25.000,59.292,-6.291,59.497,13.482
24,9,traffic_light,291.000,293.500,2.500,23.931,4.212,24.277,1.908
25,9,traffic_light,300.000,300.000,0.000,-6.174,8.532,10.518,2.304
26,9,traffic_light,315.000,316.000,1.000,17.928,7.218,19.282,1.764
27,0,person,325.000,345.000,20.000,82.296,-11.754,82.458,20.016
28,0,person,347.500,351.500,4.000,-19.602,-6.336,20.562,11.448
29,0,person,364.000,418.000,54.000,70.578,-9.153,70.835,19.350
30,0,person,362.000,418.500,56.500,70.011,-14.733,70.695,8.190
31,9,traffic_light,363.500,417.000,53.500,-17.199,9.252,19.463,2.250
32,0,person,401.000,410.000,9.000,9.612,-5.562,11.092,10.800
33,0,person,401.000,408.500,7.500,19.845,-1.364,19.890,4.527
34,9,traffic_light,427.000,427.000,0.000,-2.268,21.789,21.901,4.590
35,9,traffic_light,457.000,458.000,1.000,7.002,10.728,12.788,2.628
36,0,person,459.000,470.000,11.000,10.116,-3.843,10.814,5.526
37,9,traffic_light,464.500,466.500,2.000,-6.498,9.504,11.496,2.916
38,0,person,481.500,487.000,5.500,-14.409,-1.778,14.516,5.607
39,0,person,494.500,509.500,15.000,-2.574,-2.115,3.331,2.322
40,0,person,495.500,498.000,2.500,-3.393,-1.265,3.621,2.403
41,9,traffic_light,501.000,501.000,0.000,-22.392,23.274,31.858,4.500
42,9,traffic_light,0.000,2.500,2.500,19.935,5.621,20.681,2.007
43,9,traffic_light,6.500,23.000,16.500,20.970,7.493,22.211,2.151
44,9,traffic_light,10.500,14.000,3.500,5.724,5.976,8.268,0.954
45,0,person,21.500,32.000,10.500,87.471,-6.241,87.486,9.945
46,0,person,20.000,33.000,13.000,63.540,-2.826,63.575,9.720
47,0,person,28.000,32.000,4.000,72.162,-14.364,72.737,7.380
48,0,person,39.000,39.500,0.500,19.125,-2.435,19.274,4.653
49,0,person,56.500,57.500,1.000,42.093,-2.462,42.151,3.807
50,0,person,81.500,83.000,1.500,-4.941,-2.201,5.408,5.589
51,0,person,73.500,113.000,39.500,38.853,-4.050,39.030,10.602
52,0,person,113.000,116.000,3.000,-2.574,-2.070,3.303,6.516
53,9,traffic_light,137.000,138.500,1.500,-22.635,11.525,25.262,3.015
54,9,traffic_light,137.500,140.500,3.000,23.238,4.770,23.696,2.664
55,9,traffic_light,151.000,152.000,1.000,-10.494,10.125,14.543,2.142
56,9,traffic_light,152.000,152.000,0.000,19.098,19.422,26.977,4.320
57,9,traffic_light,167.500,167.500,0.000,12.888,13.761,18.768,2.970
58,9,traffic_light,167.500,168.500,1.000,-13.590,9.252,16.391,1.872
59,0,person,180.000,186.000,6.000,-37.953,-1.773,37.988,4.104
60,9,traffic_light,190.000,193.000,3.000,-6.462,6.444,9.116,2.088
61,0,person,206.500,209.000,2.500,-15.786,-3.429,16.145,2.376
62,9,traffic_light,264.000,265.500,1.500,-17.406,5.211,18.146,1.800
63,9,traffic_light,281.500,285.000,3.500,19.926,9.891,22.156,2.556
64,9,traffic_light,301.000,302.000,1.000,28.260,4.590,28.600,2.052
65,9,traffic_light,307.000,309.000,2.000,-7.218,7.209,10.188,1.962
66,0,person,405.000,417.000,12.000,2.790,-4.392,5.202,15.228
67,9,traffic_light,427.500,427.500,0.000,-7.722,32.859,33.655,6.642
68,0,person,456.500,461.000,4.500,37.422,-4.487,37.651,8.397
69,0,person,464.000,469.500,5.500,48.663,-5.135,48.865,7.155
70,9,traffic_light,467.000,467.000,0.000,-20.142,25.218,31.857,4.896
71,0,person,494.000,502.500,8.500,-5.472,-2.758,6.126,4.365
72,0,person,497.000,498.000,1.000,-5.418,-2.102,5.810,3.879
