point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg
0,9,traffic_light,0.000,2.500,2.500,19.935,5.621,20.681,2.007
1,9,traffic_light,6.500,23.000,16.500,20.970,7.493,22.211,2.151
2,9,traffic_light,10.500,14.000,3.500,5.724,5.976,8.268,0.954
3,0,person,20.000,33.000,13.000,63.540,-2.826,63.575,9.720
4,0,person,56.500,57.500,1.000,42.093,-2.462,42.151,3.807
5,0,person,61.000,68.000,7.000,37.692,-3.330,37.817,3.528
6,0,person,81.500,83.000,1.500,-4.941,-2.201,5.408,5.589
7,0,person,104.500,107.000,2.500,-9.369,-6.849,11.587,20.754
8,0,person,130.500,131.500,1.000,28.566,-3.555,28.768,5.706
9,0,person,143.500,154.500,11.000,19.224,-0.810,19.240,2.772
10,0,person,154.000,166.000,12.000,30.834,-5.400,31.257,10.800
11,9,traffic_light,190.000,193.000,3.000,-6.462,6.444,9.116,2.088
12,9,traffic_light,202.000,255.000,53.000,-25.020,13.662,28.295,3.492
13,0,person,258.500,269.500,11.000,26.388,-1.953,26.455,5.238
14,9,traffic_light,272.000,274.500,2.500,13.482,6.984,15.154,1.836
15,0,person,325.000,345.000,20.000,82.296,-11.754,82.458,20.016
16,0,person,347.500,351.500,4.000,-19.602,-6.336,20.562,11.448
17,0,person,364.000,418.000,54.000,70.578,-9.153,70.835,19.350
18,0,person,401.000,410.000,9.000,9.612,-5.562,11.092,10.800
19,0,person,405.000,417.000,12.000,2.790,-4.392,5.202,15.228
20,0,person,481.500,487.000,5.500,-14.409,-1.778,14.516,5.607
21,0,person,494.500,509.500,15.000,-2.574,-2.115,3.331,2.322
22,0,person,494.000,502.500,8.500,-5.472,-2.758,6.126,4.365
