t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1785175472426,17,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.441
1785175474186,17,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.232
1785175474310,17,Filter,A,-1,,,,,false_alarm,,
1785175481745,17,Filter,A,1,traffic_light,6.500,23.000,16.500,hit,2.042,0.431
1785175491738,17,Filter,A,-1,,,,,false_alarm,,
1785175505969,17,Filter,A,60,person,21.500,32.000,10.500,miss,,
1785175531465,17,Filter,A,61,person,56.500,57.500,1.000,miss,,
1785175537783,17,Filter,A,-1,,,,,false_alarm,,
1785175539688,17,Filter,A,-1,,,,,false_alarm,,
1785175539968,17,Filter,A,7,person,62.000,66.000,4.000,miss,,
1785175541981,17,Filter,A,6,person,61.000,68.000,7.000,miss,,
1785175544343,17,Filter,A,8,traffic_light,67.000,77.500,10.500,hit,4.138,0.607
1785175547071,17,Filter,A,-1,,,,,false_alarm,,
1785175555993,17,Filter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1785175556631,17,Filter,A,-1,,,,,false_alarm,,
1785175566700,17,Filter,A,12,person,85.000,113.000,28.000,hit,8.493,2.542
1785175567314,17,Filter,A,11,person,82.500,115.000,32.500,hit,11.594,8.458
1785175571094,17,Filter,A,-1,,,,,false_alarm,,
1785175577567,17,Filter,A,-1,,,,,false_alarm,,
1785175589992,17,Filter,A,65,person,113.000,116.000,3.000,miss,,
1785175605464,17,Filter,A,15,person,130.500,131.500,1.000,miss,,
1785175605617,17,Filter,A,-1,,,,,false_alarm,,
1785175612476,17,Filter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1785175614482,17,Filter,A,17,traffic_light,137.500,140.500,3.000,miss,,
1785175617978,17,Filter,A,18,person,143.500,154.500,11.000,hit,1.278,3.307
1785175622160,17,Filter,A,19,person,145.500,154.000,8.500,hit,3.449,2.178
1785175646286,17,Filter,A,21,person,166.500,174.000,7.500,hit,6.573,3.109
1785175652492,17,Filter,A,69,person,177.000,178.500,1.500,miss,,
1785175657317,17,Filter,A,24,person,182.500,184.500,2.000,hit,1.617,2.450
1785175657794,17,Filter,A,70,person,180.000,186.000,6.000,hit,4.584,6.418
1785175658323,17,Filter,A,-1,,,,,false_alarm,,
1785175676342,17,Filter,A,26,traffic_light,202.000,255.000,53.000,hit,1.136,2.341
1785175683052,17,Filter,A,71,person,203.500,264.500,61.000,hit,6.343,1.729
1785175692013,17,Filter,A,29,person,217.000,220.000,3.000,hit,1.785,3.555
1785175728595,17,Filter,A,30,person,250.500,257.500,7.000,hit,4.888,2.829
1785175733472,17,Filter,A,31,person,258.500,269.500,11.000,hit,1.760,2.463
1785175746945,17,Filter,A,34,traffic_light,272.000,274.500,2.500,hit,1.740,2.332
1785175756672,17,Filter,A,75,traffic_light,281.500,285.000,3.500,hit,1.950,3.509
1785175757070,17,Filter,A,36,traffic_light,281.000,284.500,3.500,hit,2.850,1.885
1785175779500,17,Filter,A,35,person,280.500,305.500,25.000,miss,,
1785175782989,17,Filter,A,76,traffic_light,307.000,309.000,2.000,miss,,
1785175816212,17,Filter,A,-1,,,,,false_alarm,,
1785175825451,17,Filter,A,43,person,347.500,351.500,4.000,miss,,
1785175840524,17,Filter,A,44,person,362.000,418.500,56.500,hit,5.300,1.743
1785175841415,17,Filter,A,-1,,,,,false_alarm,,
1785175875404,17,Filter,A,-1,,,,,false_alarm,,
1785175876071,17,Filter,A,45,traffic_light,363.500,417.000,53.500,hit,39.369,0.755
1785175882487,17,Filter,A,77,person,401.000,408.500,7.500,miss,,
1785175900465,17,Filter,A,49,traffic_light,425.500,426.500,1.000,miss,,
1785175931968,17,Filter,A,79,traffic_light,457.000,458.000,1.000,miss,,
1785175934965,17,Filter,A,78,person,456.500,461.000,4.500,miss,,
1785175940476,17,Filter,A,53,traffic_light,464.500,466.500,2.000,miss,,
1785175943480,17,Filter,A,52,person,464.000,469.500,5.500,miss,,
1785175970352,17,Filter,A,80,person,494.500,509.500,15.000,hit,2.630,9.599
1785175971065,17,Filter,A,81,person,497.000,498.000,1.000,hit,0.864,1.118
1785175971555,17,Filter,A,-1,,,,,false_alarm,,
