t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1786493850761,90,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.846
1786493851474,90,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.293
1786493871274,90,Filter,A,1,traffic_light,6.500,23.000,16.500,hit,14.287,1.676
1786493883254,90,Filter,A,60,person,21.500,32.000,10.500,miss,,
1786493908738,90,Filter,A,61,person,56.500,57.500,1.000,miss,,
1786493913427,90,Filter,A,6,person,61.000,68.000,7.000,hit,1.930,0.837
1786493916294,90,Filter,A,7,person,62.000,66.000,4.000,hit,3.799,0.840
1786493924597,90,Filter,A,8,traffic_light,67.000,77.500,10.500,hit,7.107,0.347
1786493933273,90,Filter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1786493936459,90,Filter,A,11,person,82.500,115.000,32.500,hit,3.453,0.449
1786493937403,90,Filter,A,12,person,85.000,113.000,28.000,hit,1.920,1.302
1786493965179,90,Filter,A,65,person,113.000,116.000,3.000,hit,1.681,1.990
1786493982388,90,Filter,A,15,person,130.500,131.500,1.000,hit,1.398,1.367
1786493989062,90,Filter,A,-1,,,,,false_alarm,,
1786493989751,90,Filter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1786493990585,90,Filter,A,17,traffic_light,137.500,140.500,3.000,hit,2.607,3.971
1786493995268,90,Filter,A,18,person,143.500,154.500,11.000,hit,1.278,2.338
1786493999310,90,Filter,A,19,person,145.500,154.000,8.500,hit,3.315,1.447
1786494019960,90,Filter,A,21,person,166.500,174.000,7.500,hit,2.969,6.170
1786494029763,90,Filter,A,69,person,177.000,178.500,1.500,miss,,
1786494035735,90,Filter,A,24,person,182.500,184.500,2.000,miss,,
1786494037236,90,Filter,A,70,person,180.000,186.000,6.000,miss,,
1786494054238,90,Filter,A,26,traffic_light,202.000,255.000,53.000,hit,1.737,0.804
1786494069234,90,Filter,A,29,person,217.000,220.000,3.000,hit,1.752,1.647
1786494074007,90,Filter,A,71,person,203.500,264.500,61.000,hit,20.023,1.257
1786494103806,90,Filter,A,30,person,250.500,257.500,7.000,hit,2.820,3.988
1786494110163,90,Filter,A,31,person,258.500,269.500,11.000,hit,1.159,0.740
1786494123547,90,Filter,A,34,traffic_light,272.000,274.500,2.500,hit,1.039,2.902
1786494133741,90,Filter,A,36,traffic_light,281.000,284.500,3.500,hit,2.250,1.087
1786494133981,90,Filter,A,75,traffic_light,281.500,285.000,3.500,hit,1.983,1.887
1786494140425,90,Filter,A,35,person,280.500,305.500,25.000,hit,9.423,0.828
1786494158638,90,Filter,A,76,traffic_light,307.000,309.000,2.000,hit,1.141,5.392
1786494200046,90,Filter,A,43,person,347.500,351.500,4.000,hit,2.049,5.492
1786494215182,90,Filter,A,44,person,362.000,418.500,56.500,hit,2.698,2.864
1786494219347,90,Filter,A,45,traffic_light,363.500,417.000,53.500,hit,5.369,1.774
1786494259758,90,Filter,A,77,person,401.000,408.500,7.500,miss,,
1786494277744,90,Filter,A,49,traffic_light,425.500,426.500,1.000,miss,,
1786494292031,90,Filter,A,-1,,,,,false_alarm,,
1786494308638,90,Filter,A,79,traffic_light,457.000,458.000,1.000,hit,1.158,2.420
1786494309390,90,Filter,A,78,person,456.500,461.000,4.500,hit,2.392,1.346
1786494316564,90,Filter,A,53,traffic_light,464.500,466.500,2.000,hit,1.566,3.458
1786494317750,90,Filter,A,-1,,,,,false_alarm,,
1786494320757,90,Filter,A,52,person,464.000,469.500,5.500,miss,,
1786494329717,90,Filter,A,-1,,,,,false_alarm,,
1786494346855,90,Filter,A,80,person,494.500,509.500,15.000,hit,1.863,0.731
1786494349253,90,Filter,A,81,person,497.000,498.000,1.000,miss,,
1786494349572,90,Filter,A,-1,,,,,false_alarm,,
1786494357460,90,Filter,A,-1,,,,,false_alarm,,
