t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784689045039,1003,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,1.036
1784689048798,1003,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.778
1784689061145,1003,Filter,B,2,traffic_light,10.500,14.000,3.500,hit,2.813,0.698
1784689070570,1003,Filter,B,3,person,20.500,22.000,1.500,miss,,
1784689074061,1003,Filter,B,59,person,20.000,33.000,13.000,hit,6.226,1.824
1784689080581,1003,Filter,B,4,person,28.000,32.000,4.000,miss,,
1784689104923,1003,Filter,B,62,person,56.500,63.000,6.500,hit,0.590,3.218
1784689105708,1003,Filter,B,5,person,55.500,145.000,89.500,hit,2.391,4.016
1784689120547,1003,Filter,B,63,person,68.000,114.500,46.500,hit,4.706,5.995
1784689130672,1003,Filter,B,-1,,,,,false_alarm,,
1784689131436,1003,Filter,B,10,person,81.500,83.000,1.500,hit,2.117,8.527
1784689133728,1003,Filter,B,64,person,73.500,113.000,39.500,hit,12.386,2.728
1784689139266,1003,Filter,B,-1,,,,,false_alarm,,
