point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg
0,0,person,28.000,32.000,4.000,72.162,-14.364,72.737,7.380
1,0,person,39.000,39.500,0.500,19.125,-2.435,19.274,4.653
2,0,person,46.000,46.500,0.500,36.477,-3.069,36.588,4.482
3,0,person,62.000,66.000,4.000,24.228,-3.240,24.431,3.276
4,9,traffic_light,67.000,77.500,10.500,-10.215,5.234,11.465,1.395
5,9,traffic_light,81.000,82.000,1.000,10.530,2.016,10.719,1.044
6,0,person,81.500,83.000,1.500,-4.941,-2.201,5.408,5.589
7,0,person,104.500,107.000,2.500,-9.369,-6.849,11.587,20.754
8,9,traffic_light,127.500,127.500,0.000,-25.812,13.374,28.859,3.384
9,0,person,130.500,131.500,1.000,28.566,-3.555,28.768,5.706
10,9,traffic_light,137.000,138.500,1.500,-22.635,11.525,25.262,3.015
11,0,person,145.500,154.000,8.500,15.075,-1.553,15.153,2.907
12,0,person,152.000,152.500,0.500,25.713,-1.048,25.733,3.933
13,0,person,154.000,166.000,12.000,30.834,-5.400,31.257,10.800
14,0,person,166.500,174.000,7.500,33.615,-6.624,34.186,12.114
15,9,traffic_light,174.500,174.500,0.000,-7.668,4.212,8.743,1.368
16,0,person,175.500,176.500,1.000,19.674,-4.410,20.143,8.136
17,0,person,182.500,183.000,0.500,-15.138,-1.098,15.177,2.034
18,9,traffic_light,184.500,184.500,0.000,15.462,18.882,24.225,4.428
19,9,traffic_light,209.000,253.000,44.000,-8.604,4.275,9.600,1.818
20,9,traffic_light,234.500,235.000,0.500,17.334,2.070,17.453,0.972
21,0,person,250.500,257.500,7.000,-2.538,-0.405,2.570,4.662
22,0,person,258.500,269.500,11.000,26.388,-1.953,26.455,5.238
23,0,person,270.500,273.500,3.000,19.971,-1.543,20.028,2.619
24,9,traffic_light,272.000,274.500,2.500,12.564,6.917,14.315,1.755
25,0,person,280.500,305.500,25.000,59.292,-6.291,59.497,13.482
26,9,traffic_light,291.000,293.500,2.500,23.931,4.212,24.277,1.908
27,9,traffic_light,298.500,301.500,3.000,-5.778,8.460,10.233,2.412
28,9,traffic_light,317.000,317.000,0.000,33.642,16.245,36.939,3.690
29,0,person,325.000,345.000,20.000,82.296,-11.754,82.458,20.016
30,0,person,364.000,418.000,54.000,70.578,-9.153,70.835,19.350
31,0,person,362.000,418.500,56.500,70.011,-14.733,70.695,8.190
32,9,traffic_light,363.500,417.000,53.500,-17.199,9.252,19.463,2.250
33,0,person,405.000,417.000,12.000,2.790,-4.392,5.202,15.228
34,9,traffic_light,425.500,426.500,1.000,1.386,12.879,12.952,2.682
35,0,person,459.000,470.000,11.000,10.116,-3.843,10.814,5.526
36,9,traffic_light,464.500,466.500,2.000,-6.498,9.504,11.496,2.916
37,0,person,495.500,498.000,2.500,-3.393,-1.265,3.621,2.403
38,9,traffic_light,499.500,501.000,1.500,-14.994,15.566,21.483,3.303
