point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg
0,9,traffic_light,67.000,77.500,10.500,-10.215,5.234,11.465,1.395
1,0,person,85.000,113.000,28.000,82.926,-6.201,82.968,11.466
2,0,person,82.500,115.000,32.500,31.221,-5.085,31.591,10.872
3,0,person,55.500,145.000,89.500,47.556,-4.185,47.696,11.322
4,9,traffic_light,114.500,114.500,0.000,-3.132,7.164,7.815,2.844
5,9,traffic_light,137.500,140.500,3.000,23.238,4.770,23.696,2.664
6,0,person,143.500,154.500,11.000,19.224,-0.810,19.240,2.772
7,0,person,166.500,174.000,7.500,33.615,-6.624,34.186,12.114
8,9,traffic_light,209.000,253.000,44.000,-8.604,4.275,9.600,1.818
9,0,person,250.500,257.500,7.000,-2.538,-0.405,2.570,4.662
10,0,person,264.500,276.500,12.000,28.458,-2.214,28.537,4.536
11,0,person,280.500,305.500,25.000,59.292,-6.291,59.497,13.482
12,9,traffic_light,281.500,285.000,3.500,19.926,9.891,22.156,2.556
13,9,traffic_light,298.500,301.500,3.000,-5.778,8.460,10.233,2.412
14,9,traffic_light,302.000,302.000,0.000,35.478,5.607,35.861,2.646
15,9,traffic_light,316.500,316.500,0.000,25.362,11.682,27.760,2.916
16,0,person,362.000,418.500,56.500,70.011,-14.733,70.695,8.190
17,9,traffic_light,363.500,417.000,53.500,-17.199,9.252,19.463,2.250
18,0,person,459.000,470.000,11.000,10.116,-3.843,10.814,5.526
19,0,person,464.000,469.500,5.500,48.663,-5.135,48.865,7.155
20,9,traffic_light,499.500,501.000,1.500,-14.994,15.566,21.483,3.303
