t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784680812950,1001,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.387
1784680816648,1001,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.854
1784680824374,1001,NoFilter,A,1,traffic_light,6.500,23.000,16.500,hit,2.209,0.929
1784680848430,1001,NoFilter,A,60,person,21.500,32.000,10.500,miss,,
1784680873927,1001,NoFilter,A,61,person,56.500,57.500,1.000,miss,,
1784680882427,1001,NoFilter,A,7,person,62.000,66.000,4.000,miss,,
1784680884430,1001,NoFilter,A,6,person,61.000,68.000,7.000,miss,,
1784680888230,1001,NoFilter,A,8,traffic_light,67.000,77.500,10.500,hit,5.573,0.522
1784680898445,1001,NoFilter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1784680901738,1001,NoFilter,A,11,person,82.500,115.000,32.500,hit,3.553,0.201
1784680904011,1001,NoFilter,A,12,person,85.000,113.000,28.000,hit,3.355,5.349
1784680932446,1001,NoFilter,A,65,person,113.000,116.000,3.000,miss,,
1784680947928,1001,NoFilter,A,15,person,130.500,131.500,1.000,miss,,
1784680954941,1001,NoFilter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1784680955974,1001,NoFilter,A,17,traffic_light,137.500,140.500,3.000,hit,2.807,2.072
1784680966818,1001,NoFilter,A,19,person,145.500,154.000,8.500,hit,5.651,4.434
1784680967359,1001,NoFilter,A,18,person,143.500,154.500,11.000,hit,8.185,0.799
1784680984869,1001,NoFilter,A,21,person,166.500,174.000,7.500,hit,2.702,1.171
1784680994948,1001,NoFilter,A,69,person,177.000,178.500,1.500,miss,,
1784681000915,1001,NoFilter,A,24,person,182.500,184.500,2.000,miss,,
1784681002415,1001,NoFilter,A,70,person,180.000,186.000,6.000,miss,,
1784681019905,1001,NoFilter,A,26,traffic_light,202.000,255.000,53.000,hit,2.237,3.418
1784681034635,1001,NoFilter,A,29,person,217.000,220.000,3.000,hit,1.952,4.097
1784681038555,1001,NoFilter,A,71,person,203.500,264.500,61.000,hit,19.389,4.409
1784681070326,1001,NoFilter,A,30,person,250.500,257.500,7.000,hit,4.154,4.480
1784681078526,1001,NoFilter,A,31,person,258.500,269.500,11.000,hit,4.363,3.327
1784681089153,1001,NoFilter,A,34,traffic_light,272.000,274.500,2.500,hit,1.473,2.994
1784681099016,1001,NoFilter,A,75,traffic_light,281.500,285.000,3.500,hit,1.850,3.278
1784681100401,1001,NoFilter,A,-1,,,,,false_alarm,,
1784681100922,1001,NoFilter,A,36,traffic_light,281.000,284.500,3.500,miss,,
1784681100963,1001,NoFilter,A,-1,,,,,false_alarm,,
1784681108440,1001,NoFilter,A,35,person,280.500,305.500,25.000,hit,12.259,5.526
1784681125444,1001,NoFilter,A,76,traffic_light,307.000,309.000,2.000,miss,,
1784681167912,1001,NoFilter,A,43,person,347.500,351.500,4.000,miss,,
1784681186848,1001,NoFilter,A,44,person,362.000,418.500,56.500,hit,9.171,1.080
1784681224942,1001,NoFilter,A,77,person,401.000,408.500,7.500,miss,,
1784681233415,1001,NoFilter,A,45,traffic_light,363.500,417.000,53.500,miss,,
1784681242634,1001,NoFilter,A,49,traffic_light,425.500,426.500,1.000,hit,1.460,4.787
1784681267886,1001,NoFilter,A,-1,,,,,false_alarm,,
1784681274418,1001,NoFilter,A,79,traffic_light,457.000,458.000,1.000,miss,,
1784681274472,1001,NoFilter,A,-1,,,,,false_alarm,,
1784681277429,1001,NoFilter,A,78,person,456.500,461.000,4.500,miss,,
1784681282932,1001,NoFilter,A,53,traffic_light,464.500,466.500,2.000,miss,,
1784681285939,1001,NoFilter,A,52,person,464.000,469.500,5.500,miss,,
1784681314430,1001,NoFilter,A,81,person,497.000,498.000,1.000,miss,,
1784681315358,1001,NoFilter,A,80,person,494.500,509.500,15.000,hit,5.199,0.976
