t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1785173705149,16,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.696
1785173707587,16,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.291
1785173730353,16,Filter,A,1,traffic_light,6.500,23.000,16.500,miss,,
1785173739359,16,Filter,A,60,person,21.500,32.000,10.500,miss,,
1785173747176,16,Filter,A,-1,,,,,false_alarm,,
1785173761262,16,Filter,A,-1,,,,,false_alarm,,
1785173764536,16,Filter,A,61,person,56.500,57.500,1.000,hit,1.425,0.196
1785173771245,16,Filter,A,7,person,62.000,66.000,4.000,hit,2.631,2.296
1785173774537,16,Filter,A,-1,,,,,false_alarm,,
1785173775366,16,Filter,A,6,person,61.000,68.000,7.000,miss,,
1785173779285,16,Filter,A,8,traffic_light,67.000,77.500,10.500,hit,5.673,0.605
1785173783259,16,Filter,A,-1,,,,,false_alarm,,
1785173787299,16,Filter,A,-1,,,,,false_alarm,,
1785173789285,16,Filter,A,-1,,,,,false_alarm,,
1785173789383,16,Filter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1785173791148,16,Filter,A,11,person,82.500,115.000,32.500,hit,2.051,2.945
1785173794288,16,Filter,A,12,person,85.000,113.000,28.000,hit,2.688,0.427
1785173807457,16,Filter,A,-1,,,,,false_alarm,,
1785173813969,16,Filter,A,-1,,,,,false_alarm,,
1785173821536,16,Filter,A,65,person,113.000,116.000,3.000,hit,1.915,4.033
1785173822089,16,Filter,A,-1,,,,,false_alarm,,
1785173831758,16,Filter,A,-1,,,,,false_alarm,,
1785173831897,16,Filter,A,-1,,,,,false_alarm,,
1785173836871,16,Filter,A,-1,,,,,false_alarm,,
1785173837948,16,Filter,A,15,person,130.500,131.500,1.000,hit,0.831,4.485
1785173839483,16,Filter,A,-1,,,,,false_alarm,,
1785173844349,16,Filter,A,16,traffic_light,137.000,138.500,1.500,hit,0.738,4.489
1785173846573,16,Filter,A,17,traffic_light,137.500,140.500,3.000,hit,2.473,1.736
1785173852039,16,Filter,A,18,person,143.500,154.500,11.000,hit,1.945,2.939
1785173855588,16,Filter,A,19,person,145.500,154.000,8.500,hit,3.482,1.129
1785173857087,16,Filter,A,-1,,,,,false_alarm,,
1785173857731,16,Filter,A,-1,,,,,false_alarm,,
1785173860466,16,Filter,A,-1,,,,,false_alarm,,
1785173863678,16,Filter,A,-1,,,,,false_alarm,,
1785173866683,16,Filter,A,-1,,,,,false_alarm,,
1785173869245,16,Filter,A,-1,,,,,false_alarm,,
1785173874674,16,Filter,A,-1,,,,,false_alarm,,
1785173877498,16,Filter,A,21,person,166.500,174.000,7.500,hit,4.404,1.559
1785173880635,16,Filter,A,-1,,,,,false_alarm,,
1785173883188,16,Filter,A,-1,,,,,false_alarm,,
1785173883581,16,Filter,A,-1,,,,,false_alarm,,
1785173885871,16,Filter,A,69,person,177.000,178.500,1.500,miss,,
1785173888558,16,Filter,A,-1,,,,,false_alarm,,
1785173890180,16,Filter,A,-1,,,,,false_alarm,,
1785173891841,16,Filter,A,24,person,182.500,184.500,2.000,miss,,
1785173893342,16,Filter,A,70,person,180.000,186.000,6.000,miss,,
1785173896442,16,Filter,A,-1,,,,,false_alarm,,
1785173898438,16,Filter,A,-1,,,,,false_alarm,,
1785173910475,16,Filter,A,26,traffic_light,202.000,255.000,53.000,hit,1.870,0.197
1785173914534,16,Filter,A,-1,,,,,false_alarm,,
1785173925304,16,Filter,A,71,person,203.500,264.500,61.000,hit,15.185,0.979
1785173927353,16,Filter,A,29,person,217.000,220.000,3.000,miss,,
1785173927437,16,Filter,A,-1,,,,,false_alarm,,
1785173934100,16,Filter,A,-1,,,,,false_alarm,,
1785173936503,16,Filter,A,-1,,,,,false_alarm,,
1785173945876,16,Filter,A,-1,,,,,false_alarm,,
1785173959917,16,Filter,A,30,person,250.500,257.500,7.000,hit,2.820,2.198
1785173966106,16,Filter,A,31,person,258.500,269.500,11.000,hit,0.993,0.176
1785173979201,16,Filter,A,34,traffic_light,272.000,274.500,2.500,hit,0.606,7.692
1785173988799,16,Filter,A,75,traffic_light,281.500,285.000,3.500,hit,0.682,2.218
1785173991848,16,Filter,A,36,traffic_light,281.000,284.500,3.500,miss,,
1785174002939,16,Filter,A,-1,,,,,false_alarm,,
1785174011692,16,Filter,A,35,person,280.500,305.500,25.000,hit,24.571,2.083
1785174016369,16,Filter,A,76,traffic_light,307.000,309.000,2.000,miss,,
1785174031089,16,Filter,A,-1,,,,,false_alarm,,
1785174039672,16,Filter,A,-1,,,,,false_alarm,,
1785174055119,16,Filter,A,-1,,,,,false_alarm,,
1785174058846,16,Filter,A,43,person,347.500,351.500,4.000,miss,,
1785174071402,16,Filter,A,44,person,362.000,418.500,56.500,hit,2.798,0.674
1785174076721,16,Filter,A,-1,,,,,false_alarm,,
1785174081379,16,Filter,A,-1,,,,,false_alarm,,
1785174115872,16,Filter,A,77,person,401.000,408.500,7.500,miss,,
1785174121653,16,Filter,A,-1,,,,,false_alarm,,
1785174123843,16,Filter,A,-1,,,,,false_alarm,,
1785174124342,16,Filter,A,45,traffic_light,363.500,417.000,53.500,miss,,
1785174133856,16,Filter,A,49,traffic_light,425.500,426.500,1.000,miss,,
1785174158035,16,Filter,A,-1,,,,,false_alarm,,
1785174163632,16,Filter,A,79,traffic_light,457.000,458.000,1.000,hit,0.023,2.068
1785174165007,16,Filter,A,-1,,,,,false_alarm,,
1785174166310,16,Filter,A,-1,,,,,false_alarm,,
1785174166995,16,Filter,A,78,person,456.500,461.000,4.500,hit,3.893,4.923
1785174173685,16,Filter,A,52,person,464.000,469.500,5.500,hit,3.067,5.974
1785174173870,16,Filter,A,53,traffic_light,464.500,466.500,2.000,miss,,
1785174174705,16,Filter,A,-1,,,,,false_alarm,,
1785174178910,16,Filter,A,-1,,,,,false_alarm,,
1785174185659,16,Filter,A,-1,,,,,false_alarm,,
1785174188635,16,Filter,A,-1,,,,,false_alarm,,
1785174205357,16,Filter,A,81,person,497.000,498.000,1.000,miss,,
1785174209765,16,Filter,A,-1,,,,,false_alarm,,
1785174212537,16,Filter,A,80,person,494.500,509.500,15.000,hit,11.439,1.579
1785174214684,16,Filter,A,-1,,,,,false_alarm,,
1785174220480,16,Filter,A,-1,,,,,false_alarm,,
1785174223359,16,Filter,A,-1,,,,,false_alarm,,
1785174224947,16,Filter,A,-1,,,,,false_alarm,,
