t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1785262975460,20,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,2.049
1785262976621,20,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,4.853
1785262986615,20,NoFilter,B,-1,,,,,false_alarm,,
1785262988752,20,NoFilter,B,2,traffic_light,10.500,14.000,3.500,hit,2.613,5.156
1785262996001,20,NoFilter,B,-1,,,,,false_alarm,,
1785262997030,20,NoFilter,B,-1,,,,,false_alarm,,
1785262997597,20,NoFilter,B,-1,,,,,false_alarm,,
1785262998002,20,NoFilter,B,-1,,,,,false_alarm,,
1785262998336,20,NoFilter,B,-1,,,,,false_alarm,,
1785262998396,20,NoFilter,B,3,person,20.500,22.000,1.500,miss,,
1785262998739,20,NoFilter,B,-1,,,,,false_alarm,,
1785262998987,20,NoFilter,B,-1,,,,,false_alarm,,
1785262999601,20,NoFilter,B,-1,,,,,false_alarm,,
1785262999859,20,NoFilter,B,-1,,,,,false_alarm,,
1785263000048,20,NoFilter,B,-1,,,,,false_alarm,,
1785263000262,20,NoFilter,B,-1,,,,,false_alarm,,
1785263000474,20,NoFilter,B,-1,,,,,false_alarm,,
1785263000610,20,NoFilter,B,-1,,,,,false_alarm,,
1785263000821,20,NoFilter,B,-1,,,,,false_alarm,,
1785263000975,20,NoFilter,B,-1,,,,,false_alarm,,
1785263008395,20,NoFilter,B,4,person,28.000,32.000,4.000,miss,,
1785263009393,20,NoFilter,B,59,person,20.000,33.000,13.000,miss,,
1785263039403,20,NoFilter,B,62,person,56.500,63.000,6.500,miss,,
1785263058488,20,NoFilter,B,-1,,,,,false_alarm,,
1785263059378,20,NoFilter,B,10,person,81.500,83.000,1.500,miss,,
1785263060181,20,NoFilter,B,-1,,,,,false_alarm,,
1785263060618,20,NoFilter,B,-1,,,,,false_alarm,,
1785263083404,20,NoFilter,B,13,person,104.500,107.000,2.500,miss,,
1785263089408,20,NoFilter,B,64,person,73.500,113.000,39.500,miss,,
1785263090252,20,NoFilter,B,63,person,68.000,114.500,46.500,hit,46.615,2.855
1785263091919,20,NoFilter,B,14,person,113.000,115.500,2.500,miss,,
1785263095392,20,NoFilter,B,66,person,113.500,119.000,5.500,miss,,
1785263118739,20,NoFilter,B,-1,,,,,false_alarm,,
1785263121417,20,NoFilter,B,5,person,55.500,145.000,89.500,miss,,
1785263128378,20,NoFilter,B,67,traffic_light,151.000,152.000,1.000,miss,,
1785263136794,20,NoFilter,B,20,person,154.000,166.000,12.000,hit,7.161,2.723
1785263140433,20,NoFilter,B,-1,,,,,false_alarm,,
1785263140878,20,NoFilter,B,-1,,,,,false_alarm,,
1785263144901,20,NoFilter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1785263152909,20,NoFilter,B,22,person,175.500,176.500,1.000,miss,,
1785263154909,20,NoFilter,B,23,person,176.500,178.500,2.000,miss,,
1785263169392,20,NoFilter,B,25,traffic_light,190.000,193.000,3.000,miss,,
1785263184406,20,NoFilter,B,27,traffic_light,206.000,208.000,2.000,miss,,
1785263185406,20,NoFilter,B,72,person,206.500,209.000,2.500,miss,,
1785263229390,20,NoFilter,B,28,traffic_light,209.000,253.000,44.000,miss,,
1785263241891,20,NoFilter,B,32,traffic_light,264.000,265.500,1.500,miss,,
1785263241892,20,NoFilter,B,73,traffic_light,263.000,265.500,2.500,miss,,
1785263246263,20,NoFilter,B,74,person,264.500,276.500,12.000,hit,6.137,5.054
1785263247367,20,NoFilter,B,-1,,,,,false_alarm,,
1785263248084,20,NoFilter,B,33,person,270.500,273.500,3.000,hit,1.939,2.124
1785263269891,20,NoFilter,B,37,traffic_light,291.000,293.500,2.500,miss,,
1785263277906,20,NoFilter,B,38,traffic_light,298.500,301.500,3.000,miss,,
1785263278406,20,NoFilter,B,39,traffic_light,301.000,302.000,1.000,miss,,
1785263290911,20,NoFilter,B,40,traffic_light,313.500,314.500,1.000,miss,,
1785263292414,20,NoFilter,B,41,traffic_light,315.000,316.000,1.000,miss,,
1785263321418,20,NoFilter,B,42,person,325.000,345.000,20.000,miss,,
1785263344443,20,NoFilter,B,46,person,364.000,418.000,54.000,hit,4.802,5.188
1785263385050,20,NoFilter,B,-1,,,,,false_alarm,,
1785263385989,20,NoFilter,B,-1,,,,,false_alarm,,
1785263386406,20,NoFilter,B,47,person,401.000,410.000,9.000,miss,,
1785263393383,20,NoFilter,B,48,person,405.000,417.000,12.000,miss,,
1785263434391,20,NoFilter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1785263436197,20,NoFilter,B,51,person,459.000,470.000,11.000,hit,1.560,3.495
1785263463392,20,NoFilter,B,54,person,481.500,487.000,5.500,miss,,
1785263470841,20,NoFilter,B,-1,,,,,false_alarm,,
1785263472158,20,NoFilter,B,55,person,494.000,502.500,8.500,hit,2.529,4.182
1785263472599,20,NoFilter,B,56,person,495.500,498.000,2.500,hit,1.463,4.607
1785263477399,20,NoFilter,B,57,traffic_light,499.500,501.000,1.500,miss,,
