BLOCK,1786036558335,27,,,3,video,NoFilter,A
PLAN,1786113828963,30,AF,V-F,,,,
BLOCK,1786118974239,30,,,0,video,Filter,A
BLOCK,1786119535616,30,,,1,video,NoFilter,B
BLOCK,1786120031883,30,,,2,passthrough,NoFilter,-
BLOCK,1786120894190,30,,,3,passthrough,Filter,-
PLAN,1786123379654,41,BF,V-N,,,,
BLOCK,1786124429624,41,,,0,video,NoFilter,A
BLOCK,1786125183916,41,,,1,video,Filter,B
BLOCK,1786125870547,41,,,2,passthrough,Filter,-
PLAN,1786128689714,43,BF,V-F,,,,
BLOCK,1786129535003,43,,,0,video,Filter,B
BLOCK,1786130106365,43,,,1,video,NoFilter,A
BLOCK,1786130680342,43,,,2,passthrough,NoFilter,-
PLAN,1786456439174,51,AF,P-N,,,,
BLOCK,1786457106101,51,,,0,passthrough,NoFilter,-
BLOCK,1786459160675,51,,,1,passthrough,Filter,-
BLOCK,1786459879956,51,,,2,video,Filter,A
BLOCK,1786460511720,51,,,3,video,NoFilter,B
PLAN,1786462080911,84,AF,P-F,,,,
BLOCK,1786462800917,84,,,0,passthrough,Filter,-
BLOCK,1786463520917,84,,,1,passthrough,NoFilter,-
BLOCK,1786481142464,84,,,2,video,NoFilter,B
BLOCK,1786481814779,84,,,3,video,Filter,A
PLAN,1786485187808,85,BF,V-F,,,,
PLAN,1786485192808,86,BF,V-F,,,,
BLOCK,1786486525392,85,,,0,video,Filter,B
BLOCK,1786487104544,85,,,1,video,NoFilter,A
BLOCK,1786487199795,85,,,2,passthrough,NoFilter,-
BLOCK,1786487203170,85,,,3,passthrough,Filter,-
BLOCK,1786488155896,86,,,0,video,Filter,B
BLOCK,1786488726037,86,,,1,video,NoFilter,A
BLOCK,1786488777286,86,,,2,passthrough,NoFilter,-
BLOCK,1786488780420,86,,,3,passthrough,Filter,-
