t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1785171895736,16,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.577
1785171909349,16,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.811
1785171923132,16,NoFilter,B,2,traffic_light,10.500,14.000,3.500,miss,,
1785171931102,16,NoFilter,B,3,person,20.500,22.000,1.500,miss,,
1785171934377,16,NoFilter,B,-1,,,,,false_alarm,,
1785171941126,16,NoFilter,B,4,person,28.000,32.000,4.000,miss,,
1785171942118,16,NoFilter,B,59,person,20.000,33.000,13.000,miss,,
1785171966712,16,NoFilter,B,-1,,,,,false_alarm,,
1785171969144,16,NoFilter,B,5,person,55.500,145.000,89.500,hit,5.294,1.328
1785171970435,16,NoFilter,B,62,person,56.500,63.000,6.500,hit,5.562,3.529
1785171981398,16,NoFilter,B,63,person,68.000,114.500,46.500,hit,5.040,2.065
1785171984861,16,NoFilter,B,64,person,73.500,113.000,39.500,hit,3.010,0.935
1785171992103,16,NoFilter,B,10,person,81.500,83.000,1.500,miss,,
1785172016131,16,NoFilter,B,13,person,104.500,107.000,2.500,miss,,
1785172023172,16,NoFilter,B,14,person,113.000,115.500,2.500,hit,1.815,3.234
1785172028103,16,NoFilter,B,66,person,113.500,119.000,5.500,miss,,
1785172061098,16,NoFilter,B,67,traffic_light,151.000,152.000,1.000,miss,,
1785172064978,16,NoFilter,B,-1,,,,,false_alarm,,
1785172065935,16,NoFilter,B,-1,,,,,false_alarm,,
1785172069588,16,NoFilter,B,20,person,154.000,166.000,12.000,hit,7.228,3.139
1785172077626,16,NoFilter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1785172085633,16,NoFilter,B,22,person,175.500,176.500,1.000,miss,,
1785172087635,16,NoFilter,B,23,person,176.500,178.500,2.000,miss,,
1785172101503,16,NoFilter,B,-1,,,,,false_alarm,,
1785172101586,16,NoFilter,B,-1,,,,,false_alarm,,
1785172102117,16,NoFilter,B,25,traffic_light,190.000,193.000,3.000,miss,,
1785172113405,16,NoFilter,B,-1,,,,,false_alarm,,
1785172115796,16,NoFilter,B,27,traffic_light,206.000,208.000,2.000,hit,1.441,2.631
1785172118131,16,NoFilter,B,72,person,206.500,209.000,2.500,miss,,
1785172136482,16,NoFilter,B,28,traffic_light,209.000,253.000,44.000,hit,19.128,6.482
1785172174618,16,NoFilter,B,32,traffic_light,264.000,265.500,1.500,miss,,
1785172174618,16,NoFilter,B,73,traffic_light,263.000,265.500,2.500,miss,,
1785172178620,16,NoFilter,B,74,person,264.500,276.500,12.000,hit,5.770,4.576
1785172180010,16,NoFilter,B,33,person,270.500,273.500,3.000,hit,1.138,2.475
1785172202617,16,NoFilter,B,37,traffic_light,291.000,293.500,2.500,miss,,
1785172210636,16,NoFilter,B,38,traffic_light,298.500,301.500,3.000,miss,,
1785172211117,16,NoFilter,B,39,traffic_light,301.000,302.000,1.000,miss,,
1785172223631,16,NoFilter,B,40,traffic_light,313.500,314.500,1.000,miss,,
1785172225131,16,NoFilter,B,41,traffic_light,315.000,316.000,1.000,miss,,
1785172254136,16,NoFilter,B,42,person,325.000,345.000,20.000,miss,,
1785172257284,16,NoFilter,B,-1,,,,,false_alarm,,
1785172274372,16,NoFilter,B,46,person,364.000,418.000,54.000,hit,1.999,2.487
1785172313670,16,NoFilter,B,47,person,401.000,410.000,9.000,hit,4.305,1.936
1785172321662,16,NoFilter,B,-1,,,,,false_alarm,,
1785172325868,16,NoFilter,B,-1,,,,,false_alarm,,
1785172326104,16,NoFilter,B,48,person,405.000,417.000,12.000,miss,,
1785172356994,16,NoFilter,B,-1,,,,,false_alarm,,
1785172367112,16,NoFilter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1785172368730,16,NoFilter,B,51,person,459.000,470.000,11.000,hit,1.360,8.540
1785172368799,16,NoFilter,B,-1,,,,,false_alarm,,
1785172373925,16,NoFilter,B,-1,,,,,false_alarm,,
1785172389352,16,NoFilter,B,-1,,,,,false_alarm,,
1785172392130,16,NoFilter,B,54,person,481.500,487.000,5.500,hit,2.283,0.960
1785172406866,16,NoFilter,B,55,person,494.000,502.500,8.500,hit,4.498,3.739
1785172407117,16,NoFilter,B,56,person,495.500,498.000,2.500,miss,,
1785172410116,16,NoFilter,B,57,traffic_light,499.500,501.000,1.500,miss,,
