point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg
0,9,traffic_light,6.500,23.000,16.500,20.970,7.493,22.211,2.151
1,9,traffic_light,10.500,14.000,3.500,5.724,5.976,8.268,0.954
2,0,person,20.500,22.000,1.500,-32.863,-2.743,32.965,8.095
3,0,person,39.000,39.500,0.500,19.125,-2.435,19.274,4.653
4,0,person,61.000,68.000,7.000,37.692,-3.330,37.817,3.528
5,9,traffic_light,71.500,71.500,0.000,-10.116,4.995,11.270,1.242
6,0,person,81.500,83.000,1.500,-4.941,-2.201,5.408,5.589
7,0,person,82.500,115.000,32.500,31.221,-5.085,31.591,10.872
8,0,person,104.500,107.000,2.500,-9.369,-6.849,11.587,20.754
9,0,person,85.000,113.000,28.000,82.926,-6.201,82.968,11.466
10,0,person,113.000,115.500,2.500,1.683,-2.664,3.151,7.524
11,0,person,55.500,145.000,89.500,47.556,-4.185,47.696,11.322
12,9,traffic_light,137.500,140.500,3.000,23.238,4.770,23.696,2.664
13,0,person,143.500,154.500,11.000,19.224,-0.810,19.240,2.772
14,0,person,145.500,154.000,8.500,15.075,-1.553,15.153,2.907
15,0,person,154.000,166.000,12.000,30.834,-5.400,31.257,10.800
16,9,traffic_light,174.500,174.500,0.000,-7.668,4.212,8.743,1.368
17,0,person,176.500,178.500,2.000,38.898,-4.005,39.071,5.598
18,0,person,182.500,184.500,2.000,-18.198,-2.430,18.354,5.004
19,9,traffic_light,190.000,193.000,3.000,-6.462,6.444,9.116,2.088
20,9,traffic_light,202.000,255.000,53.000,-25.020,13.662,28.295,3.492
21,9,traffic_light,206.000,208.000,2.000,-16.740,2.313,16.895,2.790
22,0,person,217.000,220.000,3.000,14.544,-3.744,15.008,4.500
23,0,person,250.500,257.500,7.000,-2.538,-0.405,2.570,4.662
24,0,person,258.500,269.500,11.000,26.388,-1.953,26.455,5.238
25,9,traffic_light,264.000,265.500,1.500,11.628,11.039,15.981,2.187
26,0,person,270.500,273.500,3.000,19.971,-1.543,20.028,2.619
27,9,traffic_light,281.000,284.500,3.500,17.055,8.235,18.886,2.286
28,0,person,280.500,305.500,25.000,59.292,-6.291,59.497,13.482
29,9,traffic_light,301.000,302.000,1.000,28.260,4.590,28.600,2.052
30,9,traffic_light,313.500,314.500,1.000,21.492,5.562,22.167,1.692
31,9,traffic_light,315.000,316.000,1.000,17.262,7.101,18.624,1.818
32,0,person,325.000,345.000,20.000,82.296,-11.754,82.458,20.016
33,0,person,347.500,351.500,4.000,-19.602,-6.336,20.562,11.448
34,0,person,364.000,418.000,54.000,70.578,-9.153,70.835,19.350
35,0,person,362.000,418.500,56.500,70.011,-14.733,70.695,8.190
36,0,person,401.000,410.000,9.000,9.612,-5.562,11.092,10.800
37,0,person,405.000,417.000,12.000,2.790,-4.392,5.202,15.228
38,9,traffic_light,426.000,426.000,0.000,-32.238,15.012,35.217,3.060
39,9,traffic_light,456.500,458.000,1.500,5.688,9.396,10.970,2.322
40,0,person,459.000,470.000,11.000,10.116,-3.843,10.814,5.526
41,0,person,464.000,469.500,5.500,48.663,-5.135,48.865,7.155
42,0,person,474.000,474.000,0.000,9.738,-2.754,10.116,1.656
43,0,person,481.500,487.000,5.500,-14.409,-1.778,14.516,5.607
44,0,person,494.000,502.500,8.500,-5.472,-2.758,6.126,4.365
45,9,traffic_light,501.000,501.000,0.000,-25.956,23.418,34.405,4.896
