t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1786123908173,41,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.512
1786123910735,41,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.641
1786123921956,41,NoFilter,A,1,traffic_light,6.500,23.000,16.500,hit,5.712,0.330
1786123942502,41,NoFilter,A,60,person,21.500,32.000,10.500,miss,,
1786123968000,41,NoFilter,A,61,person,56.500,57.500,1.000,miss,,
1786123976514,41,NoFilter,A,7,person,62.000,66.000,4.000,miss,,
1786123978506,41,NoFilter,A,6,person,61.000,68.000,7.000,miss,,
1786123984126,41,NoFilter,A,8,traffic_light,67.000,77.500,10.500,hit,7.374,1.704
1786123992530,41,NoFilter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1786123998249,41,NoFilter,A,12,person,85.000,113.000,28.000,hit,3.488,1.648
1786124010126,41,NoFilter,A,11,person,82.500,115.000,32.500,hit,17.867,0.505
1786124025472,41,NoFilter,A,65,person,113.000,116.000,3.000,hit,2.716,7.216
1786124041502,41,NoFilter,A,15,person,130.500,131.500,1.000,hit,1.265,3.136
1786124048765,41,NoFilter,A,17,traffic_light,137.500,140.500,3.000,hit,1.506,2.489
1786124049016,41,NoFilter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1786124055151,41,NoFilter,A,18,person,143.500,154.500,11.000,hit,1.912,0.263
1786124058031,41,NoFilter,A,19,person,145.500,154.000,8.500,hit,2.781,5.881
1786124078584,41,NoFilter,A,21,person,166.500,174.000,7.500,hit,2.335,1.614
1786124089028,41,NoFilter,A,69,person,177.000,178.500,1.500,miss,,
1786124093777,41,NoFilter,A,24,person,182.500,184.500,2.000,hit,1.517,4.096
1786124094946,41,NoFilter,A,70,person,180.000,186.000,6.000,hit,5.185,1.931
1786124114944,41,NoFilter,A,26,traffic_light,202.000,255.000,53.000,hit,3.205,1.779
1786124122373,41,NoFilter,A,71,person,203.500,264.500,61.000,hit,9.112,3.221
1786124129959,41,NoFilter,A,29,person,217.000,220.000,3.000,hit,3.220,4.230
1786124162098,41,NoFilter,A,30,person,250.500,257.500,7.000,hit,1.852,5.094
1786124169378,41,NoFilter,A,31,person,258.500,269.500,11.000,hit,1.126,2.553
1786124183050,41,NoFilter,A,34,traffic_light,272.000,274.500,2.500,hit,1.306,2.395
1786124194973,41,NoFilter,A,35,person,280.500,305.500,25.000,hit,4.718,1.263
1786124195001,41,NoFilter,A,36,traffic_light,281.000,284.500,3.500,miss,,
1786124195499,41,NoFilter,A,75,traffic_light,281.500,285.000,3.500,miss,,
1786124219515,41,NoFilter,A,76,traffic_light,307.000,309.000,2.000,miss,,
1786124258430,41,NoFilter,A,43,person,347.500,351.500,4.000,hit,1.182,5.899
1786124276889,41,NoFilter,A,44,person,362.000,418.500,56.500,hit,5.133,1.433
1786124289733,41,NoFilter,A,45,traffic_light,363.500,417.000,53.500,hit,16.480,0.584
1786124314190,41,NoFilter,A,77,person,401.000,408.500,7.500,hit,3.437,0.196
1786124336999,41,NoFilter,A,49,traffic_light,425.500,426.500,1.000,miss,,
1786124367428,41,NoFilter,A,78,person,456.500,461.000,4.500,hit,1.191,1.499
1786124368505,41,NoFilter,A,79,traffic_light,457.000,458.000,1.000,miss,,
1786124374902,41,NoFilter,A,52,person,464.000,469.500,5.500,hit,1.165,1.973
1786124377009,41,NoFilter,A,53,traffic_light,464.500,466.500,2.000,miss,,
1786124407154,41,NoFilter,A,80,person,494.500,509.500,15.000,hit,2.897,0.321
1786124407875,41,NoFilter,A,81,person,497.000,498.000,1.000,hit,1.131,3.781
