point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg
0,9,traffic_light,8.000,8.000,0.000,20.034,6.444,21.004,1.692
1,9,traffic_light,10.500,14.000,3.500,5.724,5.976,8.268,0.954
2,0,person,21.500,32.000,10.500,87.471,-6.241,87.486,9.945
3,0,person,28.000,32.000,4.000,72.162,-14.364,72.737,7.380
4,0,person,56.500,63.000,6.500,78.552,-4.576,78.589,8.271
5,0,person,55.500,145.000,89.500,47.556,-4.185,47.696,11.322
6,0,person,61.000,68.000,7.000,37.692,-3.330,37.817,3.528
7,0,person,81.500,83.000,1.500,-4.941,-2.201,5.408,5.589
8,0,person,104.500,107.000,2.500,-9.369,-6.849,11.587,20.754
9,0,person,130.500,131.500,1.000,28.566,-3.555,28.768,5.706
10,0,person,145.500,154.000,8.500,15.075,-1.553,15.153,2.907
11,0,person,154.000,166.000,12.000,30.834,-5.400,31.257,10.800
12,9,traffic_light,190.000,193.000,3.000,-6.462,6.444,9.116,2.088
13,9,traffic_light,202.000,255.000,53.000,-25.020,13.662,28.295,3.492
14,0,person,203.500,264.500,61.000,14.040,-4.023,14.594,7.290
15,9,traffic_light,272.000,274.500,2.500,13.482,6.984,15.154,1.836
16,9,traffic_light,291.000,293.500,2.500,23.931,4.212,24.277,1.908
17,9,traffic_light,302.000,302.000,0.000,35.478,5.607,35.861,2.646
18,0,person,325.000,345.000,20.000,82.296,-11.754,82.458,20.016
19,0,person,347.500,351.500,4.000,-19.602,-6.336,20.562,11.448
20,0,person,362.000,418.500,56.500,70.011,-14.733,70.695,8.190
21,0,person,401.000,410.000,9.000,9.612,-5.562,11.092,10.800
22,0,person,401.000,408.500,7.500,19.845,-1.364,19.890,4.527
23,9,traffic_light,427.000,427.000,0.000,-2.268,21.789,21.901,4.590
24,9,traffic_light,464.500,466.500,2.000,-6.498,9.504,11.496,2.916
25,0,person,497.000,498.000,1.000,-5.418,-2.102,5.810,3.879
26,0,person,494.000,502.500,8.500,-5.472,-2.758,6.126,4.365
