t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784825752431,9,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.875
1784825760203,9,Filter,B,-1,,,,,false_alarm,,
1784825760592,9,Filter,B,-1,,,,,false_alarm,,
1784825766002,9,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,1.057
1784825779811,9,Filter,B,2,traffic_light,10.500,14.000,3.500,miss,,
1784825787773,9,Filter,B,3,person,20.500,22.000,1.500,miss,,
1784825788827,9,Filter,B,-1,,,,,false_alarm,,
1784825797790,9,Filter,B,4,person,28.000,32.000,4.000,miss,,
1784825798789,9,Filter,B,59,person,20.000,33.000,13.000,miss,,
1784825828781,9,Filter,B,62,person,56.500,63.000,6.500,miss,,
1784825841620,9,Filter,B,-1,,,,,false_alarm,,
1784825848779,9,Filter,B,10,person,81.500,83.000,1.500,miss,,
1784825859756,9,Filter,B,5,person,55.500,145.000,89.500,hit,39.228,2.627
1784825860411,9,Filter,B,64,person,73.500,113.000,39.500,hit,21.895,2.822
1784825864264,9,Filter,B,63,person,68.000,114.500,46.500,hit,31.232,2.747
1784825871659,9,Filter,B,13,person,104.500,107.000,2.500,hit,2.140,1.838
1784825879297,9,Filter,B,66,person,113.500,119.000,5.500,hit,0.781,4.028
1784825879807,9,Filter,B,14,person,113.000,115.500,2.500,hit,1.781,9.713
1784825917774,9,Filter,B,67,traffic_light,151.000,152.000,1.000,miss,,
1784825920747,9,Filter,B,20,person,154.000,166.000,12.000,hit,1.722,1.453
1784825920998,9,Filter,B,-1,,,,,false_alarm,,
1784825934286,9,Filter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1784825942307,9,Filter,B,22,person,175.500,176.500,1.000,miss,,
1784825944301,9,Filter,B,23,person,176.500,178.500,2.000,miss,,
1784825958778,9,Filter,B,25,traffic_light,190.000,193.000,3.000,miss,,
1784825973798,9,Filter,B,27,traffic_light,206.000,208.000,2.000,miss,,
1784825974807,9,Filter,B,72,person,206.500,209.000,2.500,miss,,
1784826018781,9,Filter,B,28,traffic_light,209.000,253.000,44.000,miss,,
1784826031288,9,Filter,B,32,traffic_light,264.000,265.500,1.500,miss,,
1784826031289,9,Filter,B,73,traffic_light,263.000,265.500,2.500,miss,,
1784826035096,9,Filter,B,74,person,264.500,276.500,12.000,hit,5.570,1.927
1784826036802,9,Filter,B,-1,,,,,false_alarm,,
1784826037239,9,Filter,B,33,person,270.500,273.500,3.000,hit,1.705,0.368
1784826059278,9,Filter,B,37,traffic_light,291.000,293.500,2.500,miss,,
1784826067289,9,Filter,B,38,traffic_light,298.500,301.500,3.000,miss,,
1784826067798,9,Filter,B,39,traffic_light,301.000,302.000,1.000,miss,,
1784826079677,9,Filter,B,40,traffic_light,313.500,314.500,1.000,hit,1.148,3.046
1784826081356,9,Filter,B,41,traffic_light,315.000,316.000,1.000,hit,1.316,0.519
1784826086484,9,Filter,B,-1,,,,,false_alarm,,
1784826092807,9,Filter,B,42,person,325.000,345.000,20.000,hit,2.761,2.070
1784826102649,9,Filter,B,-1,,,,,false_alarm,,
1784826131752,9,Filter,B,46,person,364.000,418.000,54.000,hit,2.733,4.200
1784826153549,9,Filter,B,-1,,,,,false_alarm,,
1784826166961,9,Filter,B,47,person,401.000,410.000,9.000,hit,0.935,4.991
1784826172397,9,Filter,B,48,person,405.000,417.000,12.000,hit,2.374,3.344
1784826223793,9,Filter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1784826225881,9,Filter,B,51,person,459.000,470.000,11.000,hit,1.860,1.202
1784826247488,9,Filter,B,54,person,481.500,487.000,5.500,hit,0.949,3.688
1784826260412,9,Filter,B,55,person,494.000,502.500,8.500,hit,1.395,0.381
1784826262495,9,Filter,B,56,person,495.500,498.000,2.500,hit,1.964,1.733
1784826266797,9,Filter,B,57,traffic_light,499.500,501.000,1.500,miss,,
