t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784690575021,1003,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.707
1784690576182,1003,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.731
1784690589979,1003,Filter,B,2,traffic_light,10.500,14.000,3.500,miss,,
1784690597210,1003,Filter,B,-1,,,,,false_alarm,,
1784690597949,1003,Filter,B,3,person,20.500,22.000,1.500,miss,,
1784690599683,1003,Filter,B,59,person,20.000,33.000,13.000,hit,4.491,8.755
1784690607957,1003,Filter,B,4,person,28.000,32.000,4.000,miss,,
1784690632752,1003,Filter,B,5,person,55.500,145.000,89.500,hit,2.057,5.104
1784690638961,1003,Filter,B,62,person,56.500,63.000,6.500,miss,,
1784690658182,1003,Filter,B,10,person,81.500,83.000,1.500,hit,1.483,3.237
1784690671069,1003,Filter,B,64,person,73.500,113.000,39.500,hit,22.362,1.212
1784690672961,1003,Filter,B,63,person,68.000,114.500,46.500,hit,29.764,3.030
1784690682656,1003,Filter,B,13,person,104.500,107.000,2.500,hit,2.941,2.309
1784690690194,1003,Filter,B,14,person,113.000,115.500,2.500,hit,1.982,2.566
1784690694950,1003,Filter,B,66,person,113.500,119.000,5.500,miss,,
