t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784823679881,6,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.389
1784823681962,6,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.459
1784823695756,6,Filter,B,2,traffic_light,10.500,14.000,3.500,miss,,
1784823702823,6,Filter,B,59,person,20.000,33.000,13.000,hit,1.855,3.188
1784823703725,6,Filter,B,3,person,20.500,22.000,1.500,miss,,
1784823713741,6,Filter,B,4,person,28.000,32.000,4.000,miss,,
1784823744741,6,Filter,B,62,person,56.500,63.000,6.500,miss,,
1784823753943,6,Filter,B,63,person,68.000,114.500,46.500,hit,4.973,2.636
1784823754312,6,Filter,B,5,person,55.500,145.000,89.500,hit,17.840,2.369
1784823756238,6,Filter,B,64,person,73.500,113.000,39.500,hit,1.742,0.767
1784823763901,6,Filter,B,10,person,81.500,83.000,1.500,hit,1.416,0.906
1784823788157,6,Filter,B,13,person,104.500,107.000,2.500,hit,2.674,1.506
1784823796045,6,Filter,B,14,person,113.000,115.500,2.500,hit,2.048,3.202
1784823800728,6,Filter,B,66,person,113.500,119.000,5.500,miss,,
1784823833310,6,Filter,B,67,traffic_light,151.000,152.000,1.000,hit,1.319,8.263
1784823836775,6,Filter,B,20,person,154.000,166.000,12.000,hit,1.789,2.194
1784823850247,6,Filter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1784823858253,6,Filter,B,22,person,175.500,176.500,1.000,miss,,
1784823860255,6,Filter,B,23,person,176.500,178.500,2.000,miss,,
1784823873726,6,Filter,B,25,traffic_light,190.000,193.000,3.000,hit,2.759,6.318
1784823889754,6,Filter,B,27,traffic_light,206.000,208.000,2.000,miss,,
1784823890752,6,Filter,B,72,person,206.500,209.000,2.500,miss,,
1784823934023,6,Filter,B,28,traffic_light,209.000,253.000,44.000,hit,44.053,2.089
1784823946864,6,Filter,B,32,traffic_light,264.000,265.500,1.500,hit,1.866,0.710
1784823947115,6,Filter,B,73,traffic_light,263.000,265.500,2.500,hit,3.133,7.174
1784823949462,6,Filter,B,74,person,264.500,276.500,12.000,hit,3.968,0.932
1784823955223,6,Filter,B,33,person,270.500,273.500,3.000,hit,3.741,0.270
1784823975228,6,Filter,B,37,traffic_light,291.000,293.500,2.500,miss,,
1784823981472,6,Filter,B,38,traffic_light,298.500,301.500,3.000,hit,2.000,4.148
1784823983741,6,Filter,B,39,traffic_light,301.000,302.000,1.000,miss,,
1784823996253,6,Filter,B,40,traffic_light,313.500,314.500,1.000,miss,,
1784823996295,6,Filter,B,-1,,,,,false_alarm,,
1784823997404,6,Filter,B,41,traffic_light,315.000,316.000,1.000,hit,1.416,2.093
1784824008229,6,Filter,B,42,person,325.000,345.000,20.000,hit,2.260,0.849
1784824046694,6,Filter,B,46,person,364.000,418.000,54.000,hit,1.699,2.873
1784824084848,6,Filter,B,47,person,401.000,410.000,9.000,hit,2.870,2.464
1784824090523,6,Filter,B,-1,,,,,false_alarm,,
1784824091338,6,Filter,B,48,person,405.000,417.000,12.000,hit,5.343,5.900
1784824139734,6,Filter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1784824139814,6,Filter,B,-1,,,,,false_alarm,,
1784824141415,6,Filter,B,51,person,459.000,470.000,11.000,hit,1.427,1.944
1784824163634,6,Filter,B,54,person,481.500,487.000,5.500,hit,1.149,2.920
1784824177450,6,Filter,B,55,person,494.000,502.500,8.500,hit,2.463,7.450
1784824178323,6,Filter,B,56,person,495.500,498.000,2.500,hit,1.830,6.327
1784824181942,6,Filter,B,57,traffic_light,499.500,501.000,1.500,hit,1.467,9.500
