t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1786124662465,41,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.219
1786124665024,41,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.847
1786124677740,41,Filter,B,2,traffic_light,10.500,14.000,3.500,hit,3.180,1.485
1786124686182,41,Filter,B,59,person,20.000,33.000,13.000,hit,2.122,1.624
1786124686791,41,Filter,B,3,person,20.500,22.000,1.500,miss,,
1786124696801,41,Filter,B,4,person,28.000,32.000,4.000,miss,,
1786124727807,41,Filter,B,62,person,56.500,63.000,6.500,miss,,
1786124737277,41,Filter,B,63,person,68.000,114.500,46.500,hit,5.240,2.175
1786124740201,41,Filter,B,64,person,73.500,113.000,39.500,hit,2.643,1.365
1786124742847,41,Filter,B,5,person,55.500,145.000,89.500,hit,23.312,1.318
1786124746824,41,Filter,B,10,person,81.500,83.000,1.500,hit,1.283,1.721
1786124771305,41,Filter,B,13,person,104.500,107.000,2.500,hit,2.774,4.064
1786124778920,41,Filter,B,14,person,113.000,115.500,2.500,hit,1.881,4.367
1786124783794,41,Filter,B,66,person,113.500,119.000,5.500,miss,,
1786124816792,41,Filter,B,67,traffic_light,151.000,152.000,1.000,miss,,
1786124821761,41,Filter,B,20,person,154.000,166.000,12.000,hit,3.724,1.734
1786124833307,41,Filter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1786124841314,41,Filter,B,22,person,175.500,176.500,1.000,miss,,
1786124843321,41,Filter,B,23,person,176.500,178.500,2.000,miss,,
1786124857790,41,Filter,B,25,traffic_light,190.000,193.000,3.000,miss,,
1786124871741,41,Filter,B,27,traffic_light,206.000,208.000,2.000,hit,1.708,2.492
1786124873811,41,Filter,B,72,person,206.500,209.000,2.500,miss,,
1786124886310,41,Filter,B,28,traffic_light,209.000,253.000,44.000,hit,13.255,1.443
1786124930306,41,Filter,B,32,traffic_light,264.000,265.500,1.500,miss,,
1786124930306,41,Filter,B,73,traffic_light,263.000,265.500,2.500,miss,,
1786124934111,41,Filter,B,74,person,264.500,276.500,12.000,hit,5.570,0.942
1786124936505,41,Filter,B,33,person,270.500,273.500,3.000,hit,1.972,1.687
1786124957262,41,Filter,B,37,traffic_light,291.000,293.500,2.500,hit,2.226,1.023
1786124966306,41,Filter,B,38,traffic_light,298.500,301.500,3.000,miss,,
1786124966514,41,Filter,B,39,traffic_light,301.000,302.000,1.000,hit,1.469,6.654
1786124978568,41,Filter,B,40,traffic_light,313.500,314.500,1.000,hit,1.014,4.033
1786124980292,41,Filter,B,41,traffic_light,315.000,316.000,1.000,hit,1.249,6.454
1786124990690,41,Filter,B,42,person,325.000,345.000,20.000,hit,1.660,0.784
1786125029380,41,Filter,B,46,person,364.000,418.000,54.000,hit,1.332,1.289
1786125067687,41,Filter,B,47,person,401.000,410.000,9.000,hit,2.637,1.715
1786125075744,41,Filter,B,48,person,405.000,417.000,12.000,hit,6.711,7.015
1786125122800,41,Filter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1786125124765,41,Filter,B,51,person,459.000,470.000,11.000,hit,1.727,1.007
1786125147321,41,Filter,B,54,person,481.500,487.000,5.500,hit,1.783,0.840
1786125159865,41,Filter,B,56,person,495.500,498.000,2.500,hit,0.329,8.412
1786125160792,41,Filter,B,55,person,494.000,502.500,8.500,hit,2.763,3.789
1786125165805,41,Filter,B,57,traffic_light,499.500,501.000,1.500,miss,,
