t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784829225287,10,A,A1,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784829225288,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RUN_START,trials=140;seed=100;soa_s=1.8;task=nback1;filter=FILTER;distractors=NEW
1784829225289,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=circle
1784829227089,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784829227091,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=diamond
1784829228895,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=781
1784829228898,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=2;kind=go;shape=diamond
1784829230699,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=hit;rt_ms=647
1784829230704,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=triangle
1784829232521,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=796
1784829232526,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=diamond
1784829234356,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=707
1784829234362,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=diamond
1784829236175,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=hit;rt_ms=607
1784829236181,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=circle
1784829237987,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=797
1784829237993,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=circle
1784829239805,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=641
1784829239810,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=diamond
1784829241621,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=591
1784829241626,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=triangle
1784829243434,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=890
1784829243440,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=10;kind=nogo;shape=square
1784829245256,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=correct_reject;rt_ms=993
1784829245262,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=11;kind=nogo;shape=circle
1784829247079,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=correct_reject;rt_ms=826
1784829247084,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=12;kind=nogo;shape=triangle
1784829248887,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=correct_reject;rt_ms=839
1784829248892,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=13;kind=go;shape=triangle
1784829250720,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=hit;rt_ms=584
1784829250726,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=14;kind=nogo;shape=square
1784829252554,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=correct_reject;rt_ms=738
1784829252559,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=15;kind=nogo;shape=triangle
1784829254378,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=correct_reject;rt_ms=769
1784829254383,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=16;kind=go;shape=triangle
1784829256186,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=hit;rt_ms=642
1784829256192,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=17;kind=nogo;shape=diamond
1784829258020,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=correct_reject;rt_ms=669
1784829258026,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=18;kind=nogo;shape=square
1784829259854,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=correct_reject;rt_ms=673
1784829259860,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=19;kind=go;shape=square
1784829261675,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=19;outcome=hit;rt_ms=560
1784829261682,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=20;kind=nogo;shape=circle
1784829263487,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=20;outcome=correct_reject;rt_ms=785
1784829263492,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=21;kind=nogo;shape=triangle
1784829265301,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=21;outcome=correct_reject;rt_ms=773
1784829265307,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=22;kind=go;shape=triangle
1784829267120,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=22;outcome=hit;rt_ms=739
1784829267126,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=23;kind=nogo;shape=circle
1784829268957,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=23;outcome=correct_reject;rt_ms=684
1784829268964,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=24;kind=go;shape=circle
1784829270775,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=24;outcome=hit;rt_ms=609
1784829270781,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=25;kind=nogo;shape=triangle
1784829272587,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=correct_reject;rt_ms=804
1784829272592,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=26;kind=go;shape=triangle
1784829274410,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=hit;rt_ms=668
1784829274415,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=27;kind=nogo;shape=circle
1784829276217,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=correct_reject;rt_ms=736
1784829276224,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=28;kind=nogo;shape=diamond
1784829278033,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=correct_reject;rt_ms=681
1784829278038,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=29;kind=go;shape=diamond
1784829279851,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=hit;rt_ms=626
1784829279857,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=30;kind=nogo;shape=circle
1784829281669,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=correct_reject;rt_ms=733
1784829281674,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=31;kind=nogo;shape=square
1784829283490,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=correct_reject;rt_ms=747
1784829283496,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=32;kind=nogo;shape=circle
1784829285315,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=correct_reject;rt_ms=730
1784829285321,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=33;kind=nogo;shape=diamond
1784829287122,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=correct_reject;rt_ms=559
1784829287128,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=34;kind=go;shape=diamond
1784829288929,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=hit;rt_ms=469
1784829288935,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=35;kind=nogo;shape=triangle
1784829290750,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=correct_reject;rt_ms=797
1784829290755,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=36;kind=go;shape=triangle
1784829292557,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=36;outcome=hit;rt_ms=684
1784829292562,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=37;kind=nogo;shape=diamond
1784829294389,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=37;outcome=correct_reject;rt_ms=930
1784829294394,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=38;kind=nogo;shape=square
1784829296212,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=38;outcome=correct_reject;rt_ms=832
1784829296218,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=39;kind=nogo;shape=diamond
1784829298020,10,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=39;outcome=correct_reject;rt_ms=744
1784829298027,10,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=40;kind=nogo;shape=square
