t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784814319885,6,A,A1,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784814319885,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RUN_START,trials=105;seed=60;soa_s=2;task=nback1;filter=FILTER
1784814319885,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=circle
1784814321886,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784814321887,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=triangle
1784814323904,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=1172
1784814323906,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=circle
1784814325905,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=no_response
1784814325911,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=square
1784814327914,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=no_response
1784814327919,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=circle
1784814329930,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=257
1784814329935,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=5;kind=nogo;shape=diamond
1784814331937,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=commission;rt_ms=1069
1784814331942,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=square
1784814333948,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=1666
1784814333953,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=square
1784814335971,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=miss;timeout
1784814335976,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=diamond
1784814337978,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=no_response
1784814337983,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=circle
1784814339990,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=1102
1784814339996,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=10;kind=nogo;shape=square
1784814342003,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=correct_reject;rt_ms=1633
1784814342009,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=11;kind=nogo;shape=circle
1784814344010,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=correct_reject;rt_ms=1268
1784814344014,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=12;kind=go;shape=circle
1784814346032,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=hit;rt_ms=830
1784814346037,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=13;kind=nogo;shape=diamond
1784814348038,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=correct_reject;rt_ms=1288
1784814348042,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=14;kind=go;shape=diamond
1784814350046,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=hit;rt_ms=987
1784814350050,6,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=15;kind=nogo;shape=triangle
1784814352070,6,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=correct_reject;rt_ms=1072
