t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784747901547,4,A,A2,,,,,,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html
1784747901547,4,A,A2,,,,,,NBACK1_PILOT,CPT_RUN_START,trials=84;seed=41;soa_s=2.5;task=nback1
1784747901547,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=circle
1784747904050,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784747904051,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=triangle
1784747906553,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=677
1784747906554,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=square
1784747909055,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=611
1784747909060,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=3;kind=go;shape=square
1784747911561,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=hit;rt_ms=593
1784747911566,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=diamond
1784747914085,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=526
1784747914089,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=diamond
1784747916590,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=hit;rt_ms=630
1784747916594,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=circle
1784747919114,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=838
1784747919119,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=7;kind=nogo;shape=triangle
1784747921620,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=correct_reject;rt_ms=825
1784747921625,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=square
1784747924147,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=681
1784747924151,4,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=triangle
1784747926653,4,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=1174
