t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784735442363,1,A,A2,,,,,,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html
1784735442363,1,A,A2,,,,,,NBACK1_PILOT,CPT_RUN_START,trials=84;seed=11;soa_s=2.5;task=nback1
1784735442363,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=diamond
1784735444874,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784735444874,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=square
1784735447379,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=783
1784735447380,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=circle
1784735449885,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=955
1784735449890,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=triangle
1784735452412,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=728
1784735452417,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=4;kind=go;shape=triangle
1784735454918,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=hit;rt_ms=749
1784735454923,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=5;kind=nogo;shape=square
1784735457426,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=correct_reject;rt_ms=691
1784735457431,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=6;kind=go;shape=square
1784735459946,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=hit;rt_ms=766
1784735459951,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=7;kind=nogo;shape=triangle
1784735462452,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=correct_reject;rt_ms=664
1784735462456,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=diamond
1784735464980,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=642
1784735464985,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=circle
1784735467486,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=570
1784735467490,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=10;kind=go;shape=circle
1784735470012,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=hit;rt_ms=621
1784735470017,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=11;kind=nogo;shape=diamond
1784735472518,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=correct_reject;rt_ms=513
1784735472522,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=12;kind=nogo;shape=square
1784735475026,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=correct_reject;rt_ms=687
1784735475031,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=13;kind=go;shape=square
1784735477546,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=hit;rt_ms=637
1784735477551,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=14;kind=nogo;shape=circle
1784735480053,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=correct_reject;rt_ms=515
1784735480057,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=15;kind=go;shape=circle
1784735482580,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=hit;rt_ms=710
1784735482586,1,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=16;kind=nogo;shape=diamond
1784735485086,1,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=correct_reject;rt_ms=735
