t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784827440229,9,A,A3,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784827485664,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=25;kind=nogo;shape=circle
1784827487493,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=correct_reject;rt_ms=675
1784827487498,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=26;kind=nogo;shape=square
1784827489308,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=correct_reject;rt_ms=634
1784827489314,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=27;kind=go;shape=square
1784827491126,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=hit;rt_ms=560
1784827491132,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=28;kind=nogo;shape=diamond
1784827492949,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=correct_reject;rt_ms=597
1784827492954,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=29;kind=go;shape=diamond
1784827494759,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=hit;rt_ms=617
1784827494764,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=30;kind=nogo;shape=circle
1784827496567,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=correct_reject;rt_ms=517
1784827496574,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=31;kind=nogo;shape=triangle
1784827498392,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=correct_reject;rt_ms=545
1784827498397,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=32;kind=nogo;shape=diamond
1784827500227,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=correct_reject;rt_ms=624
